2026-03-25 11:44:11 WARN  TestNGContentHandler:133 - It is strongly recommended to add "<!DOCTYPE suite SYSTEM "https://testng.org/testng-1.1.dtd" >" at the top of the suite file [C:\WorkSpace\Pooja_Workspace\selenium\Eclipse workspace\Admin-Portal\testng.xml] otherwise TestNG may fail or not work as expected.
2026-03-25 11:44:11 INFO  Utils:112 - [TestNG] Running:
  C:\WorkSpace\Pooja_Workspace\selenium\Eclipse workspace\Admin-Portal\testng.xml

2026-03-25 11:44:18 INFO  TC_003_DashboardTest:22 - Login successful
2026-03-25 11:44:18 INFO  TC_003_DashboardTest:22 - Login successful
2026-03-25 11:44:19 INFO  TC_003_DashboardTest:33 - ***** Starting Dashboard Test : DB_01 *****
2026-03-25 11:44:19 INFO  TC_003_DashboardTest:33 - ***** Starting Dashboard Test : DB_01 *****
2026-03-25 11:44:22 INFO  TC_003_DashboardTest:22 - Login successful
2026-03-25 11:44:22 INFO  TC_003_DashboardTest:33 - ***** Starting Dashboard Test : DB_01 *****
2026-03-25 11:44:22 INFO  TC_003_DashboardTest:33 - ***** Starting Dashboard Test : DB_02 *****
2026-03-25 11:44:22 INFO  TC_003_DashboardTest:33 - ***** Starting Dashboard Test : DB_03 *****
2026-03-25 11:44:22 INFO  TC_003_DashboardTest:33 - ***** Starting Dashboard Test : DB_04 *****
2026-03-25 11:44:23 INFO  TC_003_DashboardTest:33 - ***** Starting Dashboard Test : DB_05 *****
2026-03-25 11:44:23 INFO  TC_003_DashboardTest:33 - ***** Starting Dashboard Test : DB_06 *****
2026-03-25 11:44:23 INFO  TC_003_DashboardTest:61 - ***** Dashboard Validation Completed *****
2026-03-25 11:44:23 INFO  TC_003_DashboardTest:33 - ***** Starting Dashboard Test : DB_02 *****
2026-03-25 11:44:24 INFO  TC_003_DashboardTest:33 - ***** Starting Dashboard Test : DB_03 *****
2026-03-25 11:44:24 INFO  TC_003_DashboardTest:33 - ***** Starting Dashboard Test : DB_04 *****
2026-03-25 11:44:24 INFO  TC_003_DashboardTest:33 - ***** Starting Dashboard Test : DB_05 *****
2026-03-25 11:44:24 INFO  TC_003_DashboardTest:33 - ***** Starting Dashboard Test : DB_06 *****
2026-03-25 11:44:24 INFO  TC_003_DashboardTest:61 - ***** Dashboard Validation Completed *****
2026-03-25 11:44:26 INFO  TC_003_DashboardTest:33 - ***** Starting Dashboard Test : DB_02 *****
2026-03-25 11:44:26 INFO  TC_007_DownloadsTest:26 - Opening application URL: file:/C:/WorkSpace/Pooja_Workspace/selenium/Eclipse%20workspace/Admin-Portal/target/test-classes/static%20Website/index.html
2026-03-25 11:44:26 INFO  TC_003_DashboardTest:33 - ***** Starting Dashboard Test : DB_03 *****
2026-03-25 11:44:27 INFO  TC_003_DashboardTest:33 - ***** Starting Dashboard Test : DB_04 *****
2026-03-25 11:44:27 INFO  TC_003_DashboardTest:33 - ***** Starting Dashboard Test : DB_05 *****
2026-03-25 11:44:27 INFO  TC_003_DashboardTest:33 - ***** Starting Dashboard Test : DB_06 *****
2026-03-25 11:44:27 INFO  TC_003_DashboardTest:61 - ***** Dashboard Validation Completed *****
2026-03-25 11:44:28 INFO  TC_007_DownloadsTest:29 - Logging into application
2026-03-25 11:44:30 INFO  TC_007_DownloadsTest:26 - Opening application URL: file:/C:/WorkSpace/Pooja_Workspace/selenium/Eclipse%20workspace/Admin-Portal/target/test-classes/static%20Website/index.html
2026-03-25 11:44:30 INFO  TC_007_DownloadsTest:29 - Logging into application
2026-03-25 11:44:31 INFO  TC_007_DownloadsTest:32 - Login successful
2026-03-25 11:44:31 INFO  TC_007_DownloadsTest:76 - Loading Downloads test data from JSON
2026-03-25 11:44:32 INFO  TC_007_DownloadsTest:38 - Starting Downloads Test Case: DL_01
2026-03-25 11:44:32 INFO  TC_007_DownloadsTest:32 - Login successful
2026-03-25 11:44:32 INFO  TC_007_DownloadsTest:76 - Loading Downloads test data from JSON
2026-03-25 11:44:32 INFO  TC_007_DownloadsTest:38 - Starting Downloads Test Case: DL_01
2026-03-25 11:44:32 INFO  TC_007_DownloadsTest:42 - Navigated to Downloads Page
2026-03-25 11:44:32 INFO  TC_007_DownloadsTest:47 - Validating page title
2026-03-25 11:44:32 INFO  TC_007_DownloadsTest:49 - Expected Title: Admin Portal | Downloads | Actual Title: Admin Portal | Downloads
2026-03-25 11:44:32 INFO  TC_007_DownloadsTest:52 - Validating page heading
2026-03-25 11:44:32 INFO  TC_007_DownloadsTest:54 - Expected Heading: Downloads | Actual Heading: Downloads
2026-03-25 11:44:32 INFO  TC_007_DownloadsTest:57 - Validating number of download items
2026-03-25 11:44:32 INFO  TC_007_DownloadsTest:59 - Expected Rows: 7 | Actual Rows: 7
2026-03-25 11:44:32 INFO  TC_007_DownloadsTest:62 - Validating official links
2026-03-25 11:44:33 INFO  TC_007_DownloadsTest:65 - Validating download links
2026-03-25 11:44:33 INFO  TC_007_DownloadsTest:70 - Downloads Test Case Completed: DL_01
2026-03-25 11:44:33 INFO  TC_007_DownloadsTest:26 - Opening application URL: file:/C:/WorkSpace/Pooja_Workspace/selenium/Eclipse%20workspace/Admin-Portal/target/test-classes/static%20Website/index.html
2026-03-25 11:44:33 INFO  TC_007_DownloadsTest:29 - Logging into application
2026-03-25 11:44:36 INFO  TC_007_DownloadsTest:42 - Navigated to Downloads Page
2026-03-25 11:44:36 INFO  TC_007_DownloadsTest:47 - Validating page title
2026-03-25 11:44:36 INFO  TC_007_DownloadsTest:49 - Expected Title: Admin Portal | Downloads | Actual Title: Admin Portal | Downloads
2026-03-25 11:44:36 INFO  TC_007_DownloadsTest:52 - Validating page heading
2026-03-25 11:44:36 INFO  TC_007_DownloadsTest:54 - Expected Heading: Downloads | Actual Heading: Downloads
2026-03-25 11:44:36 INFO  TC_007_DownloadsTest:57 - Validating number of download items
2026-03-25 11:44:36 INFO  TC_007_DownloadsTest:32 - Login successful
2026-03-25 11:44:36 INFO  TC_007_DownloadsTest:76 - Loading Downloads test data from JSON
2026-03-25 11:44:36 INFO  TC_007_DownloadsTest:38 - Starting Downloads Test Case: DL_01
2026-03-25 11:44:36 INFO  TC_007_DownloadsTest:59 - Expected Rows: 7 | Actual Rows: 7
2026-03-25 11:44:36 INFO  TC_007_DownloadsTest:62 - Validating official links
2026-03-25 11:44:36 INFO  TC_002LoginTest:27 - ***** Starting LoginTest **
2026-03-25 11:44:36 INFO  TC_002LoginTest:29 - ***** opened login page **
2026-03-25 11:44:36 INFO  TC_007_DownloadsTest:65 - Validating download links
2026-03-25 11:44:36 INFO  TC_007_DownloadsTest:42 - Navigated to Downloads Page
2026-03-25 11:44:36 INFO  TC_007_DownloadsTest:47 - Validating page title
2026-03-25 11:44:36 INFO  TC_007_DownloadsTest:49 - Expected Title: Admin Portal | Downloads | Actual Title: Admin Portal | Downloads
2026-03-25 11:44:36 INFO  TC_007_DownloadsTest:52 - Validating page heading
2026-03-25 11:44:36 INFO  TC_007_DownloadsTest:54 - Expected Heading: Downloads | Actual Heading: Downloads
2026-03-25 11:44:36 INFO  TC_007_DownloadsTest:57 - Validating number of download items
2026-03-25 11:44:36 INFO  TC_007_DownloadsTest:59 - Expected Rows: 7 | Actual Rows: 7
2026-03-25 11:44:36 INFO  TC_007_DownloadsTest:62 - Validating official links
2026-03-25 11:44:36 INFO  TC_007_DownloadsTest:70 - Downloads Test Case Completed: DL_01
2026-03-25 11:44:36 INFO  TC_007_DownloadsTest:65 - Validating download links
2026-03-25 11:44:37 INFO  TC_007_DownloadsTest:70 - Downloads Test Case Completed: DL_01
2026-03-25 11:44:37 INFO  TC_002LoginTest:35 - login attempted for tcId LOG_01
2026-03-25 11:44:38 INFO  TC_002LoginTest:27 - ***** Starting LoginTest **
2026-03-25 11:44:38 INFO  TC_002LoginTest:29 - ***** opened login page **
2026-03-25 11:44:39 INFO  TC_002LoginTest:35 - login attempted for tcId LOG_02
2026-03-25 11:44:39 INFO  TC_002LoginTest:27 - ***** Starting LoginTest **
2026-03-25 11:44:39 INFO  TC_002LoginTest:29 - ***** opened login page **
2026-03-25 11:44:39 INFO  TC_002LoginTest:27 - ***** Starting LoginTest **
